id,title,region,release_date,platform,image_url
"","Alex Islands","Other","2022-01-21","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/106688-1.jpg"
"","Alex Islands","NTSC","2022-01-21","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/113380-1.jpg"
"","Alf Escapes!","2016-03-06","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/76526-1.jpg"
"","Alfonzo Melee!","Other","2017-01-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/102869-1.jpg"
"","Alfonzo's Arctic Adventure","Other","2019-03-14","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/64884-1.jpg"
"","Alfred Chicken","1994-02-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1535-1.jpg"
"","Alien 3","1993-03-19","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/32243-1.jpg"
"","Alien Cat 2","NTSC","2023-01-26","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/113379-1.jpg"
"","Alien Syndrome","1987-01-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1614-1.jpg"
"","All Hell Unleashed","NTSC																		(United States of America)","2025-04-11","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/131124-1.jpg"
"","All Hell Unleashed v6.66","NTSC																		(United States of America)","1970-01-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/132503-1.jpg"
"","All-Pro Basketball","1989-12-01","Nintendo Entertainment System (NES)","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/1615-1.jpg"
"","Allied Death Squad","NTSC																		(China)","2007-11-15","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/76527-1.jpg"
"","Allison of Astra","NTSC","2022-03-06","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/101550-1.jpg"
"","Allison of Astra in: ""Timeless And Spaceless""","NTSC","2020-09-20","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/113310-1.jpg"
"","Allison of Astra Starring in PRGE: The Game","Other","2019-12-25","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/106706-1.jpg"
"","Allison of Astra: Dodgeball RPG","NTSC","2022-01-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/113377-1.jpg"
"","Allison of Astra: Episode 1 - Allison's Scribble Quest","Other","2022-03-06","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/106690-1.jpg"
"","Allison of Astra: Episode 2 - Allison Doesn't Go Hawaiian","Other","2022-04-03","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/106691-1.jpg"
"","Allison of Astra: Episode 3 - Finity Train","Other","2022-05-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/106702-1.jpg"
"","Allison of Astra: Episode 4 - Allison's Booty Quest","Other","2022-06-06","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/106703-1.jpg"
"","Allison of Astra: Episode 5 - Margarita","Other","2022-07-10","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/106704-1.jpg"
"","Allison of Astra: Episode 6 - Margarita Mix","Other","2022-09-05","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/106705-1.jpg"
"","Allison of Astra: Episode 7 - The Marvelous Mrs. Mendel","NTSC","2023-03-26","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/113378-1.jpg"
"","Almika The Star Rider Densetsu Gaiden","NTSC","2020-01-01","Nintendo Entertainment System (NES)","https://cdn.thegamesdb.net/images/thumb/boxart/front/95212-1.jpg"
